2024-05-09 | 22:57:16.388 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | Starting WarehouseManagementApplication using Java 21.0.2 with PID 5956 (C:\Users\gm96k\Desktop\Warehouse-Management\target\classes started by gersimuca in C:\Users\gm96k\Desktop\Warehouse-Management)
2024-05-09 | 22:57:16.390 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | The following 1 profile is active: "dev"
2024-05-09 | 22:57:16.445 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-09 | 22:57:16.446 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-09 | 22:57:16.684 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | Starting WarehouseManagementApplication using Java 21.0.2 with PID 29364 (C:\Users\gm96k\Desktop\Warehouse-Management\target\classes started by gersimuca in C:\Users\gm96k\Desktop\Warehouse-Management)
2024-05-09 | 22:57:16.686 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | The following 1 profile is active: "dev"
2024-05-09 | 22:57:16.733 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-09 | 22:57:16.733 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-09 | 22:57:17.338 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-09 | 22:57:17.382 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 38 ms. Found 5 JPA repository interfaces.
2024-05-09 | 22:57:17.457 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-09 | 22:57:17.576 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 102 ms. Found 5 JPA repository interfaces.
2024-05-09 | 22:57:17.963 | tartedMain |  INFO | o.s.b.w.e.tomcat.TomcatWebServer    | Tomcat initialized with port 9443 (http)
2024-05-09 | 22:57:18.043 | tartedMain |  INFO | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-9443"]
2024-05-09 | 22:57:18.050 | tartedMain |  INFO | o.a.catalina.core.StandardService   | Starting service [Tomcat]
2024-05-09 | 22:57:18.051 | tartedMain |  INFO | o.a.catalina.core.StandardEngine    | Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-09 | 22:57:18.106 | tartedMain |  INFO | o.a.c.c.C.[.[localhost].[/rest-api] | Initializing Spring embedded WebApplicationContext
2024-05-09 | 22:57:18.106 | tartedMain |  INFO | .ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 1373 ms
2024-05-09 | 22:57:18.213 | tartedMain |  INFO | o.h.jpa.internal.util.LogHelper     | HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-09 | 22:57:18.255 | tartedMain |  INFO | org.hibernate.Version               | HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-09 | 22:57:18.278 | tartedMain |  INFO | o.h.c.i.RegionFactoryInitiator      | HHH000026: Second-level cache disabled
2024-05-09 | 22:57:18.442 | tartedMain |  INFO | o.s.o.j.p.SpringPersistenceUnitInfo | No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-09 | 22:57:18.461 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Starting...
2024-05-09 | 22:57:18.556 | tartedMain |  INFO | com.zaxxer.hikari.pool.HikariPool   | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@b83f797
2024-05-09 | 22:57:18.557 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Start completed.
2024-05-09 | 22:57:18.578 | tartedMain |  WARN | org.hibernate.orm.deprecation       | HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-09 | 22:57:18.824 | tartedMain |  INFO | o.s.b.w.e.tomcat.TomcatWebServer    | Tomcat initialized with port 9443 (http)
2024-05-09 | 22:57:18.949 | tartedMain |  INFO | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-9443"]
2024-05-09 | 22:57:18.959 | tartedMain |  INFO | o.a.catalina.core.StandardService   | Starting service [Tomcat]
2024-05-09 | 22:57:18.960 | tartedMain |  INFO | o.a.catalina.core.StandardEngine    | Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-09 | 22:57:19.072 | tartedMain |  INFO | o.a.c.c.C.[.[localhost].[/rest-api] | Initializing Spring embedded WebApplicationContext
2024-05-09 | 22:57:19.073 | tartedMain |  INFO | .ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 2627 ms
2024-05-09 | 22:57:19.286 | tartedMain |  INFO | o.h.jpa.internal.util.LogHelper     | HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-09 | 22:57:19.304 | tartedMain |  INFO | o.h.e.t.j.p.i.JtaPlatformInitiator  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-09 | 22:57:19.318 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.318 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "delivery" does not exist, skipping
2024-05-09 | 22:57:19.319 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.319 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "delivery" does not exist, skipping
2024-05-09 | 22:57:19.320 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.321 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "item" does not exist, skipping
2024-05-09 | 22:57:19.322 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.322 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "order" does not exist, skipping
2024-05-09 | 22:57:19.323 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.323 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "delivery" does not exist, skipping
2024-05-09 | 22:57:19.324 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.324 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "item" does not exist, skipping
2024-05-09 | 22:57:19.325 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.325 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "order" does not exist, skipping
2024-05-09 | 22:57:19.325 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.326 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "truck" does not exist, skipping
2024-05-09 | 22:57:19.327 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:19.327 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "user" does not exist, skipping
2024-05-09 | 22:57:19.378 | tartedMain |  INFO | org.hibernate.Version               | HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-09 | 22:57:19.385 | tartedMain |  INFO | alContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 | 22:57:19.439 | tartedMain |  INFO | o.h.c.i.RegionFactoryInitiator      | HHH000026: Second-level cache disabled
2024-05-09 | 22:57:19.873 | tartedMain |  INFO | o.s.o.j.p.SpringPersistenceUnitInfo | No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-09 | 22:57:19.924 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Starting...
2024-05-09 | 22:57:20.149 | tartedMain |  WARN | efaultTemplateResolverConfiguration | Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-05-09 | 22:57:20.151 | tartedMain |  INFO | com.zaxxer.hikari.pool.HikariPool   | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2e12ff51
2024-05-09 | 22:57:20.154 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Start completed.
2024-05-09 | 22:57:20.200 | tartedMain |  WARN | org.hibernate.orm.deprecation       | HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-09 | 22:57:20.327 | tartedMain |  INFO | o.s.b.d.a.OptionalLiveReloadServer  | LiveReload server is running on port 35729
2024-05-09 | 22:57:20.342 | tartedMain |  INFO | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-9443"]
2024-05-09 | 22:57:20.354 | tartedMain |  INFO | o.s.b.w.e.tomcat.TomcatWebServer    | Tomcat started on port 9443 (http) with context path '/rest-api'
2024-05-09 | 22:57:20.360 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | Started WarehouseManagementApplication in 4.01 seconds (process running for 4.763)
2024-05-09 | 22:57:21.818 | tartedMain |  INFO | o.h.e.t.j.p.i.JtaPlatformInitiator  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-09 | 22:57:21.950 | tartedMain |  INFO | alContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 | 22:57:50.159 | tartedMain |  WARN | efaultTemplateResolverConfiguration | Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-05-09 | 22:57:50.386 | tartedMain |  WARN | o.s.b.d.a.OptionalLiveReloadServer  | Unable to start LiveReload server
2024-05-09 | 22:57:50.411 | tartedMain |  WARN | gServletWebServerApplicationContext | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'
2024-05-09 | 22:57:50.414 | tartedMain |  INFO | alContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 | 22:57:50.441 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Shutdown initiated...
2024-05-09 | 22:57:50.444 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Shutdown completed.
2024-05-09 | 22:57:52.923 | utdownHook |  INFO | o.s.b.w.e.tomcat.GracefulShutdown   | Commencing graceful shutdown. Waiting for active requests to complete
2024-05-09 | 22:57:52.926 | t-shutdown |  INFO | o.s.b.w.e.tomcat.GracefulShutdown   | Graceful shutdown complete
2024-05-09 | 22:57:52.930 | utdownHook |  INFO | alContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 | 22:57:52.934 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.934 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "delivery" does not exist, skipping
2024-05-09 | 22:57:52.935 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.935 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "delivery" does not exist, skipping
2024-05-09 | 22:57:52.936 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.936 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "item" does not exist, skipping
2024-05-09 | 22:57:52.937 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.937 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "order" does not exist, skipping
2024-05-09 | 22:57:52.938 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.938 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "delivery" does not exist, skipping
2024-05-09 | 22:57:52.939 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.939 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "item" does not exist, skipping
2024-05-09 | 22:57:52.940 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.940 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "order" does not exist, skipping
2024-05-09 | 22:57:52.942 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.942 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "truck" does not exist, skipping
2024-05-09 | 22:57:52.943 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:57:52.943 | utdownHook |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "user" does not exist, skipping
2024-05-09 | 22:57:52.945 | utdownHook |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Shutdown initiated...
2024-05-09 | 22:57:52.947 | utdownHook |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Shutdown completed.
2024-05-09 | 22:58:12.568 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | Starting WarehouseManagementApplication using Java 21.0.2 with PID 3148 (C:\Users\gm96k\Desktop\Warehouse-Management\target\classes started by gersimuca in C:\Users\gm96k\Desktop\Warehouse-Management)
2024-05-09 | 22:58:12.569 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | The following 1 profile is active: "dev"
2024-05-09 | 22:58:12.625 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-09 | 22:58:12.625 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-09 | 22:58:13.310 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-09 | 22:58:13.354 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 38 ms. Found 5 JPA repository interfaces.
2024-05-09 | 22:58:13.955 | tartedMain |  INFO | o.s.b.w.e.tomcat.TomcatWebServer    | Tomcat initialized with port 9443 (http)
2024-05-09 | 22:58:14.041 | tartedMain |  INFO | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-9443"]
2024-05-09 | 22:58:14.050 | tartedMain |  INFO | o.a.catalina.core.StandardService   | Starting service [Tomcat]
2024-05-09 | 22:58:14.050 | tartedMain |  INFO | o.a.catalina.core.StandardEngine    | Starting Servlet engine: [Apache Tomcat/10.1.20]
